"","County","Date","Births"
"1",1015,"8501",14
"2",1015,"8502",13
"3",1015,"8503",14
"4",1015,"8504",12
"5",1015,"8505",15
"6",1015,"8506",11
"7",1015,"8507",14
"8",1015,"8508",15
"9",1015,"8509",15
"10",1015,"8510",14
"11",1015,"8511",15
"12",1015,"8512",13
"13",1073,"8501",81
"14",1073,"8502",80
"15",1073,"8503",78
"16",1073,"8504",81
"17",1073,"8505",86
"18",1073,"8506",81
"19",1073,"8507",88
"20",1073,"8508",92
"21",1073,"8509",88
"22",1073,"8510",84
"23",1073,"8511",80
"24",1073,"8512",86
"25",1089,"8501",26
"26",1089,"8502",27
"27",1089,"8503",27
"28",1089,"8504",25
"29",1089,"8505",29
"30",1089,"8506",26
"31",1089,"8507",27
"32",1089,"8508",29
"33",1089,"8509",29
"34",1089,"8510",30
"35",1089,"8511",27
"36",1089,"8512",29
"37",1097,"8501",54
"38",1097,"8502",52
"39",1097,"8503",50
"40",1097,"8504",51
"41",1097,"8505",52
"42",1097,"8506",53
"43",1097,"8507",56
"44",1097,"8508",59
"45",1097,"8509",64
"46",1097,"8510",58
"47",1097,"8511",59
"48",1097,"8512",54
"49",1101,"8501",28
"50",1101,"8502",25
"51",1101,"8503",28
"52",1101,"8504",22
"53",1101,"8505",28
"54",1101,"8506",29
"55",1101,"8507",31
"56",1101,"8508",31
"57",1101,"8509",30
"58",1101,"8510",31
"59",1101,"8511",29
"60",1101,"8512",27
"61",1125,"8501",17
"62",1125,"8502",13
"63",1125,"8503",16
"64",1125,"8504",13
"65",1125,"8505",16
"66",1125,"8506",15
"67",1125,"8507",18
"68",1125,"8508",19
"69",1125,"8509",17
"70",1125,"8510",17
"71",1125,"8511",16
"72",1125,"8512",15
"73",5119,"8501",51
"74",5119,"8502",47
"75",5119,"8503",54
"76",5119,"8504",46
"77",5119,"8505",48
"78",5119,"8506",47
"79",5119,"8507",53
"80",5119,"8508",59
"81",5119,"8509",51
"82",5119,"8510",53
"83",5119,"8511",49
"84",5119,"8512",51
"85",5143,"8501",12
"86",5143,"8502",14
"87",5143,"8503",12
"88",5143,"8504",12
"89",5143,"8505",15
"90",5143,"8506",13
"91",5143,"8507",15
"92",5143,"8508",16
"93",5143,"8509",14
"94",5143,"8510",16
"95",5143,"8511",16
"96",5143,"8512",12
"97",6001,"8501",157
"98",6001,"8502",149
"99",6001,"8503",163
"100",6001,"8504",160
"101",6001,"8505",171
"102",6001,"8506",160
"103",6001,"8507",166
"104",6001,"8508",174
"105",6001,"8509",175
"106",6001,"8510",172
"107",6001,"8511",157
"108",6001,"8512",158
"109",6007,"8501",20
"110",6007,"8502",19
"111",6007,"8503",20
"112",6007,"8504",18
"113",6007,"8505",20
"114",6007,"8506",20
"115",6007,"8507",22
"116",6007,"8508",22
"117",6007,"8509",20
"118",6007,"8510",21
"119",6007,"8511",18
"120",6007,"8512",19
"121",6013,"8501",90
"122",6013,"8502",85
"123",6013,"8503",89
"124",6013,"8504",87
"125",6013,"8505",95
"126",6013,"8506",86
"127",6013,"8507",89
"128",6013,"8508",99
"129",6013,"8509",97
"130",6013,"8510",100
"131",6013,"8511",84
"132",6013,"8512",86
"133",6019,"8501",89
"134",6019,"8502",86
"135",6019,"8503",92
"136",6019,"8504",95
"137",6019,"8505",100
"138",6019,"8506",94
"139",6019,"8507",108
"140",6019,"8508",106
"141",6019,"8509",106
"142",6019,"8510",96
"143",6019,"8511",96
"144",6019,"8512",102
"145",6023,"8501",16
"146",6023,"8502",15
"147",6023,"8503",14
"148",6023,"8504",15
"149",6023,"8505",18
"150",6023,"8506",17
"151",6023,"8507",16
"152",6023,"8508",16
"153",6023,"8509",17
"154",6023,"8510",14
"155",6023,"8511",14
"156",6023,"8512",14
"157",6029,"8501",82
"158",6029,"8502",68
"159",6029,"8503",82
"160",6029,"8504",77
"161",6029,"8505",80
"162",6029,"8506",80
"163",6029,"8507",86
"164",6029,"8508",96
"165",6029,"8509",92
"166",6029,"8510",87
"167",6029,"8511",84
"168",6029,"8512",86
