State,County_Name,County
1,Autauga,1001
1,Baldwin,1003
1,Barbour,1005
1,Bibb,1007
1,Blount,1009
1,Bullock,1011
1,Butler,1013
1,Calhoun,1015
1,Chambers,1017
1,Cherokee,1019
1,Chilton,1021
1,Choctaw,1023
1,Clarke,1025
1,Clay,1027
1,Cleburne,1029
1,Coffee,1031
1,Colbert,1033
1,Conecuh,1035
1,Coosa,1037
1,Covington,1039
1,Crenshaw,1041
1,Cullman,1043
1,Dale,1045
1,Dallas,1047
1,De Kalb,1049
1,Elmore,1051
1,Escambia,1053
1,Etowah,1055
1,Fayette,1057
1,Franklin,1059
1,Geneva,1061
1,Greene,1063
1,Hale,1065
1,Henry,1067
1,Houston,1069
1,Jackson,1071
1,Jefferson,1073
1,Lamar,1075
1,Lauderdale,1077
1,Lawrence,1079
1,Lee,1081
1,Limestone,1083
1,Lowndes,1085
1,Macon,1087
1,Madison,1089
1,Marengo,1091
1,Marion,1093
1,Marshall,1095
1,Mobile,1097
1,Monroe,1099
1,Montgomery,1101
1,Morgan,1103
1,Perry,1105
1,Pickens,1107
1,Pike,1109
1,Randolph,1111
1,Russell,1113
1,Shelby,1117
1,St Clair,1115
1,Sumter,1119
1,Talladega,1121
1,Tallapoosa,1123
1,Tuscaloosa,1125
1,Walker,1127
1,Washington,1129
1,Wilcox,1131
1,Winston,1133
2,Aleutians East,2013
2,Aleutians West,2016
2,Anchorage,2020
2,Bethel,2050
2,Bristol Bay,2060
2,Denali,2068
2,Dillingham,2070
2,Fairbanks North Star,2090
2,Haines,2100
2,Juneau,2110
2,Kenai Peninsula,2122
2,Ketchikan Gateway,2130
2,Kodiak Island,2150
2,Lake and Peninsula,2164
2,Matanuska Susitna,2170
2,Nome,2180
2,North Slope,2185
2,Northwest Arctic,2188
2,Prince Wales Ketchikan,2201
2,Sitka,2220
2,Skagway Hoonah Angoon,2232
2,Southeast Fairbanks,2240
2,Valdez Cordova,2261
2,Wade Hampton,2270
2,Wrangell Petersburg,2280
2,Yakutat,2282
2,Yukon Koyukuk,2290
4,Apache,4001
4,Cochise,4003
4,Coconino,4005
4,Gila,4007
4,Graham,4009
4,Greenlee,4011
4,La Paz,4012
4,Maricopa,4013
4,Mohave,4015
4,Navajo,4017
4,Pima,4019
4,Pinal,4021
4,Santa Cruz,4023
4,Yavapai,4025
4,Yuma,4027
5,Arkansas,5001
5,Ashley,5003
5,Baxter,5005
5,Benton,5007
5,Boone,5009
5,Bradley,5011
5,Calhoun,5013
5,Carroll,5015
5,Chicot,5017
5,Clark,5019
5,Clay,5021
5,Cleburne,5023
5,Cleveland,5025
5,Columbia,5027
5,Conway,5029
5,Craighead,5031
5,Crawford,5033
5,Crittenden,5035
5,Cross,5037
5,Dallas,5039
5,Desha,5041
5,Drew,5043
5,Faulkner,5045
5,Franklin,5047
5,Fulton,5049
5,Garland,5051
5,Grant,5053
5,Greene,5055
5,Hempstead,5057
5,Hot Spring,5059
5,Howard,5061
5,Independence,5063
5,Izard,5065
5,Jackson,5067
5,Jefferson,5069
5,Johnson,5071
5,Lafayette,5073
5,Lawrence,5075
5,Lee,5077
5,Lincoln,5079
5,Little River,5081
5,Logan,5083
5,Lonoke,5085
5,Madison,5087
5,Marion,5089
5,Miller,5091
5,Mississippi,5093
5,Monroe,5095
5,Nevada,5099
5,Newton,5101
5,Ouachita,5103
5,Perry,5105
5,Phillips,5107
5,Pike,5109
5,Poinsett,5111
5,Polk,5113
5,Pope,5115
5,Prairie,5117
5,Pulaski,5119
5,Randolph,5121
5,Saline,5125
5,Scott,5127
5,Searcy,5129
5,Sebastian,5131
5,Sevier,5133
5,Sharp,5135
5,St Francis,5123
5,Stone,5137
5,Union,5139
5,Van Buren,5141
5,Washington,5143
5,White,5145
5,Woodruff,5147
5,Yell,5149
6,Alameda,6001
6,Alpine,6003
6,Amador,6005
6,Butte,6007
6,Calaveras,6009
6,Colusa,6011
6,Contra Costa,6013
6,Del Norte,6015
6,El Dorado,6017
6,Fresno,6019
6,Glenn,6021
6,Humboldt,6023
6,Imperial,6025
6,Inyo,6027
6,Kern,6029
6,Kings,6031
6,Lake,6033
6,Lassen,6035
6,Los Angeles,6037
6,Madera,6039
6,Marin,6041
6,Mariposa,6043
6,Mendocino,6045
6,Merced,6047
6,Modoc,6049
6,Mono,6051
6,Monterey,6053
6,Napa,6055
6,Nevada,6057
6,Orange,6059
6,Placer,6061
6,Plumas,6063
6,Riverside,6065
6,Sacramento,6067
6,San Benito,6069
6,San Bernardino,6071
6,San Diego,6073
6,San Francisco,6075
6,San Joaquin,6077
6,San Luis Obispo,6079
6,San Mateo,6081
6,Santa Barbara,6083
6,Santa Clara,6085
6,Santa Cruz,6087
6,Shasta,6089
6,Sierra,6091
6,Siskiyou,6093
6,Solano,6095
6,Sonoma,6097
6,Stanislaus,6099
6,Sutter,6101
6,Tehama,6103
6,Trinity,6105
6,Tulare,6107
