"states"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	stateBirths
	"Alabama"	"01"	"2003"	"2003"	"January"	"1"	4866
	"Alabama"	"01"	"2003"	"2003"	"February"	"2"	4437
	"Alabama"	"01"	"2003"	"2003"	"March"	"3"	4857
	"Alabama"	"01"	"2003"	"2003"	"April"	"4"	4706
	"Alabama"	"01"	"2003"	"2003"	"May"	"5"	4838
	"Alabama"	"01"	"2003"	"2003"	"June"	"6"	4803
	"Alabama"	"01"	"2003"	"2003"	"July"	"7"	5292
	"Alabama"	"01"	"2003"	"2003"	"August"	"8"	5215
	"Alabama"	"01"	"2003"	"2003"	"September"	"9"	5321
	"Alabama"	"01"	"2003"	"2003"	"October"	"10"	5211
	"Alabama"	"01"	"2003"	"2003"	"November"	"11"	4727
	"Alabama"	"01"	"2003"	"2003"	"December"	"12"	5279
	"Alabama"	"01"	"2004"	"2004"	"January"	"1"	4816
	"Alabama"	"01"	"2004"	"2004"	"February"	"2"	4477
	"Alabama"	"01"	"2004"	"2004"	"March"	"3"	4907
	"Alabama"	"01"	"2004"	"2004"	"April"	"4"	4669
	"Alabama"	"01"	"2004"	"2004"	"May"	"5"	4771
	"Alabama"	"01"	"2004"	"2004"	"June"	"6"	4938
	"Alabama"	"01"	"2004"	"2004"	"July"	"7"	5132
	"Alabama"	"01"	"2004"	"2004"	"August"	"8"	5131
	"Alabama"	"01"	"2004"	"2004"	"September"	"9"	5243
	"Alabama"	"01"	"2004"	"2004"	"October"	"10"	5061
	"Alabama"	"01"	"2004"	"2004"	"November"	"11"	5107
	"Alabama"	"01"	"2004"	"2004"	"December"	"12"	5258
	"Alabama"	"01"	"2005"	"2005"	"January"	"1"	4956
	"Alabama"	"01"	"2005"	"2005"	"February"	"2"	4478
	"Alabama"	"01"	"2005"	"2005"	"March"	"3"	4953
	"Alabama"	"01"	"2005"	"2005"	"April"	"4"	4677
	"Alabama"	"01"	"2005"	"2005"	"May"	"5"	4905
	"Alabama"	"01"	"2005"	"2005"	"June"	"6"	5177
	"Alabama"	"01"	"2005"	"2005"	"July"	"7"	5108
