"","County_Name","County","stateName"
"1","Calhoun",1015,"Alabama"
"2","Jefferson",1073,"Alabama"
"3","Madison",1089,"Alabama"
"4","Mobile",1097,"Alabama"
"5","Montgomery",1101,"Alabama"
"6","Morgan",1103,"Alabama"
"7","Tuscaloosa",1125,"Alabama"
"8","Mohave",4015,"Arizona"
"9","Pinal",4021,"Arizona"
"10","Yuma",4027,"Arizona"
"11","Pulaski",5119,"Arkansas"
"12","Washington",5143,"Arkansas"
"13","Alameda",6001,"California"
"14","Butte",6007,"California"
"15","Contra Costa",6013,"California"
"16","El Dorado",6017,"California"
"17","Fresno",6019,"California"
"18","Humboldt",6023,"California"
"19","Imperial",6025,"California"
"20","Kern",6029,"California"
"21","Kings",6031,"California"
"22","Los Angeles",6037,"California"
"23","Marin",6041,"California"
"24","Merced",6047,"California"
"25","Monterey",6053,"California"
"26","Napa",6055,"California"
"27","Orange",6059,"California"
"28","Placer",6061,"California"
"29","Riverside",6065,"California"
"30","Sacramento",6067,"California"
"31","San Bernardino",6071,"California"
"32","San Diego",6073,"California"
"33","San Francisco",6075,"California"
"34","San Joaquin",6077,"California"
"35","San Luis Obispo",6079,"California"
"36","San Mateo",6081,"California"
"37","Santa Barbara",6083,"California"
"38","Santa Clara",6085,"California"
"39","Santa Cruz",6087,"California"
"40","Shasta",6089,"California"
"41","Solano",6095,"California"
"42","Sonoma",6097,"California"
"43","Stanislaus",6099,"California"
"44","Tulare",6107,"California"
"45","Ventura",6111,"California"
"46","Yolo",6113,"California"
"47","Adams",8001,"Colorado"
"48","Arapahoe",8005,"Colorado"
"49","Boulder",8013,"Colorado"
"50","Denver",8031,"Colorado"
"51","El Paso",8041,"Colorado"
"52","Jefferson",8059,"Colorado"
"53","Larimer",8069,"Colorado"
"54","Pueblo",8101,"Colorado"
"55","Weld",8123,"Colorado"
"56","Fairfield",9001,"Connecticut"
"57","Hartford",9003,"Connecticut"
"58","Litchfield",9005,"Connecticut"
"59","Middlesex",9007,"Connecticut"
"60","New Haven",9009,"Connecticut"
"61","New London",9011,"Connecticut"
"62","Tolland",9013,"Connecticut"
"63","Windham",9015,"Connecticut"
"64","Kent",10001,"Delaware"
"65","New Castle",10003,"Delaware"
"66","Sussex",10005,"Delaware"
"67","Alachua",12001,"Florida"
"68","Bay",12005,"Florida"
"69","Brevard",12009,"Florida"
"70","Broward",12011,"Florida"
"71","Charlotte",12015,"Florida"
"72","Clay",12019,"Florida"
"73","Collier",12021,"Florida"
"74","Duval",12031,"Florida"
"75","Escambia",12033,"Florida"
"76","Hernando",12053,"Florida"
"77","Hillsborough",12057,"Florida"
"78","Lake",12069,"Florida"
"79","Lee",12071,"Florida"
"80","Leon",12073,"Florida"
"81","Manatee",12081,"Florida"
"82","Marion",12083,"Florida"
"83","Martin",12085,"Florida"
"84","Okaloosa",12091,"Florida"
"85","Orange",12095,"Florida"
"86","Osceola",12097,"Florida"
"87","Palm Beach",12099,"Florida"
"88","Pasco",12101,"Florida"
"89","Pinellas",12103,"Florida"
"90","Polk",12105,"Florida"
"91","Sarasota",12115,"Florida"
"92","Seminole",12117,"Florida"
"93","St Lucie",12111,"Florida"
"94","Volusia",12127,"Florida"
"95","Bibb",13021,"Georgia"
"96","Chatham",13051,"Georgia"
"97","Clayton",13063,"Georgia"
"98","Cobb",13067,"Georgia"
"99","De Kalb",13089,"Georgia"
"100","Fulton",13121,"Georgia"
"101","Gwinnett",13135,"Georgia"
"102","Muscogee",13215,"Georgia"
"103","Richmond",13245,"Georgia"
"104","Hawaii",15001,"Hawaii"
"105","Honolulu",15003,"Hawaii"
"106","Maui",15009,"Hawaii"
"107","Ada",16001,"Idaho"
"108","Champaign",17019,"Illinois"
"109","Cook",17031,"Illinois"
"110","Du Page",17043,"Illinois"
"111","Kane",17089,"Illinois"
