"","number","monthYear","stateBirths","states","div"
"1","01","1-1968",2623,"Alabama","4"
"2","01","1-1969",2723,"Alabama","4"
"3","01","1-1970",2787,"Alabama","4"
"4","01","1-1971",2981,"Alabama","4"
"5","01","1-1972",2720,"Alabama","4"
"6","01","1-1973",2564,"Alabama","4"
"7","01","1-1974",2593,"Alabama","4"
"8","01","1-1975",2497,"Alabama","4"
"9","01","1-1976",4796,"Alabama","4"
"10","01","1-1977",5184,"Alabama","4"
"11","01","1-1978",4945,"Alabama","4"
"12","01","1-1979",5479,"Alabama","4"
"13","01","1-1980",5163,"Alabama","4"
"14","01","1-1981",5234,"Alabama","4"
"15","01","1-1982",5082,"Alabama","4"
"16","01","1-1983",4954,"Alabama","4"
"17","01","1-1984",4848,"Alabama","4"
"18","01","1-1985",5027,"Alabama","4"
"19","01","1-1986",5075,"Alabama","4"
"20","01","1-1987",5036,"Alabama","4"
"21","01","1-1988",4942,"Alabama","4"
"22","01","1-1989",4999,"Alabama","4"
"23","01","1-1990",5218,"Alabama","4"
"24","01","1-1991",5332,"Alabama","4"
"25","01","1-1992",5193,"Alabama","4"
"26","01","1-1993",5130,"Alabama","4"
"27","01","1-1994",5258,"Alabama","4"
"28","01","1-1995",4985,"Alabama","4"
"29","01","1-1996",4982,"Alabama","4"
"30","01","1-1997",5137,"Alabama","4"
"31","01","1-1998",5203,"Alabama","4"
"32","01","1-1999",5115,"Alabama","4"
"33","01","1-2000",5211,"Alabama","4"
"34","01","1-2001",5380,"Alabama","4"
"35","01","1-2002",5073,"Alabama","4"
"36","01","1-2003",4866,"Alabama","4"
"37","01","1-2004",4816,"Alabama","4"
"38","01","1-2005",4956,"Alabama","4"
"39","01","1-2006",5076,"Alabama","4"
"40","01","1-2007",5315,"Alabama","4"
"41","01","1-2008",5559,"Alabama","4"
"42","01","1-2009",5084,"Alabama","4"
"43","01","1-2010",4917,"Alabama","4"
"44","01","1-2011",4949,"Alabama","4"
"45","01","1-2012",4810,"Alabama","4"
"46","01","1-2013",4934,"Alabama","4"
"47","01","1-2014",4924,"Alabama","4"
"48","01","1-2015",4970,"Alabama","4"
"49","01","10-1968",2766,"Alabama","4"
"50","01","10-1969",2848,"Alabama","4"
"51","01","10-1970",2953,"Alabama","4"
"52","01","10-1971",2876,"Alabama","4"
"53","01","10-1972",2606,"Alabama","4"
"54","01","10-1973",2585,"Alabama","4"
"55","01","10-1974",2615,"Alabama","4"
"56","01","10-1975",2424,"Alabama","4"
"57","01","10-1976",5068,"Alabama","4"
"58","01","10-1977",5148,"Alabama","4"
"59","01","10-1978",5163,"Alabama","4"
"60","01","10-1979",5354,"Alabama","4"
"61","01","10-1980",5404,"Alabama","4"
"62","01","10-1981",5221,"Alabama","4"
"63","01","10-1982",5118,"Alabama","4"
"64","01","10-1983",4961,"Alabama","4"
"65","01","10-1984",5039,"Alabama","4"
"66","01","10-1985",5144,"Alabama","4"
"67","01","10-1986",5083,"Alabama","4"
"68","01","10-1987",5228,"Alabama","4"
"69","01","10-1988",5189,"Alabama","4"
"70","01","10-1989",5338,"Alabama","4"
"71","01","10-1990",5425,"Alabama","4"
"72","01","10-1991",5201,"Alabama","4"
"73","01","10-1992",5427,"Alabama","4"
"74","01","10-1993",5062,"Alabama","4"
"75","01","10-1994",5109,"Alabama","4"
"76","01","10-1995",5067,"Alabama","4"
"77","01","10-1996",5321,"Alabama","4"
"78","01","10-1997",5231,"Alabama","4"
"79","01","10-1998",5227,"Alabama","4"
"80","01","10-1999",5187,"Alabama","4"
"81","01","10-2000",5505,"Alabama","4"
"82","01","10-2001",5220,"Alabama","4"
"83","01","10-2002",5110,"Alabama","4"
"84","01","10-2003",5211,"Alabama","4"
"85","01","10-2004",5061,"Alabama","4"
"86","01","10-2005",5043,"Alabama","4"
"87","01","10-2006",5512,"Alabama","4"
"88","01","10-2007",5630,"Alabama","4"
"89","01","10-2008",5482,"Alabama","4"
"90","01","10-2009",5215,"Alabama","4"
"91","01","10-2010",5034,"Alabama","4"
"92","01","10-2011",4862,"Alabama","4"
"93","01","10-2012",5081,"Alabama","4"
"94","01","10-2013",4972,"Alabama","4"
"95","01","10-2014",5271,"Alabama","4"
"96","01","10-2015",5129,"Alabama","4"
"97","01","11-1968",2711,"Alabama","4"
"98","01","11-1969",2617,"Alabama","4"
"99","01","11-1970",2836,"Alabama","4"
"100","01","11-1971",2699,"Alabama","4"
"101","01","11-1972",2567,"Alabama","4"
"102","01","11-1973",2438,"Alabama","4"
"103","01","11-1974",2421,"Alabama","4"
"104","01","11-1975",2424,"Alabama","4"
"105","01","11-1976",4955,"Alabama","4"
"106","01","11-1977",4936,"Alabama","4"
"107","01","11-1978",4907,"Alabama","4"
"108","01","11-1979",5270,"Alabama","4"
"109","01","11-1980",5016,"Alabama","4"
"110","01","11-1981",5042,"Alabama","4"
"111","01","11-1982",4881,"Alabama","4"
"112","01","11-1983",4884,"Alabama","4"
"113","01","11-1984",4840,"Alabama","4"
"114","01","11-1985",4883,"Alabama","4"
"115","01","11-1986",4862,"Alabama","4"
"116","01","11-1987",4793,"Alabama","4"
"117","01","11-1988",5098,"Alabama","4"
"118","01","11-1989",5143,"Alabama","4"
"119","01","11-1990",5190,"Alabama","4"
"120","01","11-1991",4979,"Alabama","4"
"121","01","11-1992",5047,"Alabama","4"
"122","01","11-1993",4846,"Alabama","4"
"123","01","11-1994",4828,"Alabama","4"
"124","01","11-1995",4868,"Alabama","4"
"125","01","11-1996",4941,"Alabama","4"
"126","01","11-1997",4884,"Alabama","4"
"127","01","11-1998",4925,"Alabama","4"
"128","01","11-1999",4970,"Alabama","4"
"129","01","11-2000",5299,"Alabama","4"
"130","01","11-2001",4906,"Alabama","4"
"131","01","11-2002",4616,"Alabama","4"
"132","01","11-2003",4727,"Alabama","4"
"133","01","11-2004",5107,"Alabama","4"
"134","01","11-2005",5128,"Alabama","4"
"135","01","11-2006",5465,"Alabama","4"
"136","01","11-2007",5543,"Alabama","4"
"137","01","11-2008",4874,"Alabama","4"
"138","01","11-2009",4968,"Alabama","4"
"139","01","11-2010",5102,"Alabama","4"
