"","County","M","median","low","high"
"1",1015,1,120,120,130
"2",1015,2,110,100,120
"3",1015,3,130,110,140
"4",1015,4,120,100,120
"5",1015,5,120,120,130
"6",1015,6,130,120,140
"7",1015,7,130,120,140
"8",1015,8,130,120,140
"9",1015,9,120,120,140
"10",1015,10,130,120,130
"11",1015,11,120,110,130
"12",1015,12,120,120,130
"13",1073,1,760,740,790
"14",1073,2,720,680,740
"15",1073,3,760,720,800
"16",1073,4,740,700,750
"17",1073,5,760,740,780
"18",1073,6,750,720,760
"19",1073,7,790,770,840
"20",1073,8,820,780,840
"21",1073,9,800,760,830
"22",1073,10,780,750,810
"23",1073,11,740,710,800
"24",1073,12,800,760,820
"25",1089,1,320,320,330
"26",1089,2,310,300,320
"27",1089,3,320,310,330
"28",1089,4,310,290,340
"29",1089,5,320,310,340
"30",1089,6,330,320,340
"31",1089,7,330,320,360
"32",1089,8,360,330,370
"33",1089,9,330,320,360
"34",1089,10,340,320,360
"35",1089,11,310,290,340
"36",1089,12,340,330,360
"37",1097,1,510,470,530
"38",1097,2,450,430,470
"39",1097,3,490,470,500
"40",1097,4,450,430,490
"41",1097,5,480,450,510
"42",1097,6,470,460,490
"43",1097,7,530,500,540
"44",1097,8,540,510,560
"45",1097,9,520,480,550
"46",1097,10,510,480,530
"47",1097,11,500,480,540
"48",1097,12,520,500,530
"49",1101,1,290,280,300
"50",1101,2,260,250,270
"51",1101,3,270,260,290
"52",1101,4,260,240,270
"53",1101,5,260,250,290
"54",1101,6,270,240,290
"55",1101,7,300,290,300
"56",1101,8,290,280,320
"57",1101,9,280,270,290
"58",1101,10,290,280,300
"59",1101,11,270,260,280
"60",1101,12,290,270,300
"61",1103,1,120,120,130
"62",1103,2,120,110,120
"63",1103,3,120,110,130
"64",1103,4,110,110,120
"65",1103,5,120,110,130
"66",1103,6,130,110,140
"67",1103,7,130,130,140
"68",1103,8,130,120,140
"69",1103,9,130,120,140
"70",1103,10,130,120,140
"71",1103,11,120,110,120
"72",1103,12,130,110,130
"73",1125,1,190,180,210
"74",1125,2,180,160,190
"75",1125,3,190,180,200
"76",1125,4,180,170,190
"77",1125,5,190,180,200
"78",1125,6,190,180,200
"79",1125,7,200,190,220
"80",1125,8,210,200,230
"81",1125,9,200,180,210
"82",1125,10,200,180,220
"83",1125,11,180,180,200
"84",1125,12,210,190,210
"85",4015,1,200,180,3930
"86",4015,2,190,170,3570
"87",4015,3,200,180,3810
"88",4015,4,180,170,3640
"89",4015,5,210,170,3760
"90",4015,6,210,180,3770
"91",4015,7,220,180,4130
"92",4015,8,220,200,4210
"93",4015,9,220,180,4260
"94",4015,10,200,170,4100
"95",4015,11,200,160,3930
"96",4015,12,210,170,4160
"97",4021,1,420,380,940
"98",4021,2,410,350,880
"99",4021,3,440,370,960
"100",4021,4,390,350,890
"101",4021,5,400,350,930
"102",4021,6,430,350,900
"103",4021,7,460,390,990
"104",4021,8,480,410,1030
"105",4021,9,450,410,1030
"106",4021,10,460,400,950
"107",4021,11,430,370,920
"108",4021,12,440,400,980
"109",4027,1,250,140,270
"110",4027,2,240,130,260
"111",4027,3,240,160,250
"112",4027,4,220,130,240
"113",4027,5,220,140,240
"114",4027,6,230,150,240
"115",4027,7,260,150,270
"116",4027,8,280,150,300
"117",4027,9,300,160,320
"118",4027,10,280,150,300
"119",4027,11,270,140,280
"120",4027,12,270,150,280
"121",5119,1,480,460,500
"122",5119,2,440,430,450
"123",5119,3,470,460,490
"124",5119,4,460,430,460
"125",5119,5,460,450,470
"126",5119,6,490,460,490
"127",5119,7,490,480,500
"128",5119,8,500,480,530
"129",5119,9,490,460,500
"130",5119,10,480,450,500
"131",5119,11,460,450,480
"132",5119,12,490,480,510
"133",5143,1,250,210,270
"134",5143,2,230,190,260
"135",5143,3,250,220,270
"136",5143,4,260,200,260
"137",5143,5,250,210,270
"138",5143,6,240,210,260
"139",5143,7,270,230,280
"140",5143,8,270,230,290
"141",5143,9,260,230,280
"142",5143,10,260,230,290
"143",5143,11,230,210,260
"144",5143,12,260,220,280
"145",6001,1,1710,1600,1760
"146",6001,2,1560,1480,1630
"147",6001,3,1740,1650,1800
"148",6001,4,1660,1610,1710
"149",6001,5,1780,1690,1810
"150",6001,6,1720,1630,1780
"151",6001,7,1790,1740,1860
"152",6001,8,1810,1770,1860
"153",6001,9,1800,1720,1830
"154",6001,10,1750,1700,1810
"155",6001,11,1680,1620,1750
"156",6001,12,1720,1640,1760
"157",6007,1,180,180,200
"158",6007,2,180,160,190
"159",6007,3,200,200,210
"160",6007,4,190,180,200
