"","County","pBirths","pBirthsN","Date"
"1",1015,79,28,"9501"
"2",1015,83,30,"9502"
"3",1015,86,31,"9503"
"4",1015,76,27,"9504"
"5",1015,85,30,"9505"
"6",1015,77,27,"9506"
"7",1015,84,30,"9507"
"8",1015,97,35,"9508"
"9",1015,105,37,"9509"
"10",1015,69,22,"9510"
"11",1015,80,27,"9511"
"12",1015,80,26,"9512"
"13",1073,84,30,"9501"
"14",1073,77,28,"9502"
"15",1073,85,31,"9503"
"16",1073,77,28,"9504"
"17",1073,84,30,"9505"
"18",1073,81,29,"9506"
"19",1073,88,31,"9507"
"20",1073,94,34,"9508"
"21",1073,87,31,"9509"
"22",1073,86,28,"9510"
"23",1073,78,26,"9511"
"24",1073,80,26,"9512"
"25",1089,84,30,"9501"
"26",1089,79,28,"9502"
"27",1089,83,30,"9503"
"28",1089,80,29,"9504"
"29",1089,91,32,"9505"
"30",1089,83,30,"9506"
"31",1089,83,30,"9507"
"32",1089,87,31,"9508"
"33",1089,80,28,"9509"
"34",1089,85,27,"9510"
"35",1089,80,27,"9511"
"36",1089,87,28,"9512"
"37",1097,89,32,"9501"
"38",1097,76,27,"9502"
"39",1097,81,29,"9503"
"40",1097,80,29,"9504"
"41",1097,80,28,"9505"
"42",1097,82,29,"9506"
"43",1097,87,31,"9507"
"44",1097,86,31,"9508"
"45",1097,93,33,"9509"
"46",1097,85,27,"9510"
"47",1097,82,27,"9511"
"48",1097,80,26,"9512"
"49",1101,82,29,"9501"
"50",1101,84,30,"9502"
"51",1101,83,30,"9503"
"52",1101,77,27,"9504"
"53",1101,83,30,"9505"
"54",1101,83,30,"9506"
"55",1101,84,30,"9507"
"56",1101,100,36,"9508"
"57",1101,88,32,"9509"
"58",1101,81,26,"9510"
"59",1101,81,27,"9511"
"60",1101,75,24,"9512"
"61",1103,83,30,"9501"
"62",1103,65,23,"9502"
"63",1103,92,33,"9503"
"64",1103,70,25,"9504"
"65",1103,73,26,"9505"
"66",1103,71,25,"9506"
"67",1103,94,34,"9507"
"68",1103,86,31,"9508"
"69",1103,95,34,"9509"
"70",1103,106,34,"9510"
"71",1103,89,30,"9511"
"72",1103,75,24,"9512"
"73",1125,74,27,"9501"
"74",1125,75,27,"9502"
"75",1125,90,32,"9503"
"76",1125,77,28,"9504"
"77",1125,82,29,"9505"
"78",1125,89,32,"9506"
"79",1125,79,28,"9507"
"80",1125,92,33,"9508"
"81",1125,94,34,"9509"
"82",1125,84,27,"9510"
"83",1125,82,27,"9511"
"84",1125,81,26,"9512"
"85",4015,79,28,"9501"
"86",4015,75,27,"9502"
"87",4015,84,30,"9503"
"88",4015,75,27,"9504"
"89",4015,80,28,"9505"
"90",4015,76,27,"9506"
"91",4015,88,32,"9507"
"92",4015,92,33,"9508"
"93",4015,92,33,"9509"
"94",4015,88,28,"9510"
"95",4015,85,28,"9511"
"96",4015,87,28,"9512"
"97",4021,82,29,"9501"
"98",4021,77,27,"9502"
"99",4021,86,31,"9503"
"100",4021,76,27,"9504"
"101",4021,76,27,"9505"
"102",4021,80,28,"9506"
"103",4021,88,32,"9507"
"104",4021,96,34,"9508"
"105",4021,92,33,"9509"
"106",4021,84,27,"9510"
"107",4021,83,28,"9511"
"108",4021,81,26,"9512"
"109",4027,72,26,"9501"
"110",4027,73,26,"9502"
"111",4027,72,26,"9503"
"112",4027,83,30,"9504"
"113",4027,82,29,"9505"
"114",4027,83,30,"9506"
"115",4027,100,36,"9507"
"116",4027,89,32,"9508"
"117",4027,104,37,"9509"
"118",4027,95,31,"9510"
"119",4027,66,22,"9511"
"120",4027,81,26,"9512"
"121",5119,77,28,"9501"
"122",5119,78,28,"9502"
"123",5119,79,28,"9503"
"124",5119,85,30,"9504"
"125",5119,83,30,"9505"
"126",5119,81,29,"9506"
"127",5119,86,31,"9507"
"128",5119,92,33,"9508"
"129",5119,85,30,"9509"
"130",5119,81,26,"9510"
"131",5119,87,29,"9511"
"132",5119,84,27,"9512"
"133",5143,77,27,"9501"
"134",5143,77,28,"9502"
"135",5143,74,26,"9503"
"136",5143,78,28,"9504"
"137",5143,85,30,"9505"
"138",5143,81,29,"9506"
"139",5143,83,30,"9507"
"140",5143,100,36,"9508"
"141",5143,90,32,"9509"
"142",5143,85,27,"9510"
"143",5143,94,31,"9511"
"144",5143,77,25,"9512"
"145",6001,82,29,"9501"
"146",6001,78,28,"9502"
"147",6001,86,31,"9503"
"148",6001,82,29,"9504"
"149",6001,89,32,"9505"
"150",6001,82,29,"9506"
"151",6001,85,30,"9507"
"152",6001,86,31,"9508"
"153",6001,86,31,"9509"
"154",6001,83,27,"9510"
"155",6001,78,26,"9511"
"156",6001,82,26,"9512"
"157",6007,79,28,"9501"
"158",6007,75,27,"9502"
"159",6007,86,31,"9503"
"160",6007,77,28,"9504"
"161",6007,81,29,"9505"
"162",6007,85,30,"9506"
"163",6007,81,29,"9507"
"164",6007,102,36,"9508"
"165",6007,88,31,"9509"
"166",6007,90,29,"9510"
"167",6007,78,26,"9511"
"168",6007,77,25,"9512"
"169",6013,79,28,"9501"
"170",6013,75,27,"9502"
