"","states","M","median","low","high"
"1","Alabama",1,5126,5051,5205
"2","Alabama",2,4624.5,4577,4801
"3","Alabama",3,5101,4918.75,5182.25
"4","Alabama",4,4764.5,4666.25,4809.25
"5","Alabama",5,5007,4942.5,5049.75
"6","Alabama",6,4875,4808.75,5149
"7","Alabama",7,5406,5213,5469
"8","Alabama",8,5417.5,5349,5559.5
"9","Alabama",9,5322.5,5177.5,5422.75
"10","Alabama",10,5223.5,5167.75,5253.5
"11","Alabama",11,4915.5,4880,4948.25
"12","Alabama",12,5283.5,5062.5,5374.75
"13","Alaska",1,795.5,775.25,811.5
"14","Alaska",2,761.5,749.25,779.5
"15","Alaska",3,869.5,839.25,889.75
"16","Alaska",4,848.5,839.25,875
"17","Alaska",5,859,845.75,881.5
"18","Alaska",6,816.5,799.25,850
"19","Alaska",7,869,855.25,896
"20","Alaska",8,872,862,899
"21","Alaska",9,860.5,850,875.75
"22","Alaska",10,836,825.5,851.75
"23","Alaska",11,761,744.25,800.75
"24","Alaska",12,813,807,833.75
"25","Arizona",1,6569,6269.25,7092
"26","Arizona",2,5966.5,5743.75,6516
"27","Arizona",3,6635,6119.25,7049.25
"28","Arizona",4,6259,5856.5,6465.75
"29","Arizona",5,6255,6125.25,6803.75
"30","Arizona",6,6303.5,6027.5,6721.25
"31","Arizona",7,6866.5,6646.75,7327
"32","Arizona",8,7160.5,6752.5,7674.5
"33","Arizona",9,7193,6751.5,7555.75
"34","Arizona",10,6956,6527,7382.75
"35","Arizona",11,6639,6289.75,7106.5
"36","Arizona",12,6922,6623,7350.75
"37","Arkansas",1,3090.5,3041.75,3115.75
"38","Arkansas",2,2851.5,2783,2908.75
"39","Arkansas",3,3039,2916.75,3063
"40","Arkansas",4,2871.5,2841.75,2905.75
"41","Arkansas",5,2961,2930.5,3018
"42","Arkansas",6,2984.5,2931.75,3039.5
"43","Arkansas",7,3277.5,3241.75,3304.75
"44","Arkansas",8,3262,3245.25,3339.5
"45","Arkansas",9,3174.5,3135.75,3227.5
"46","Arkansas",10,3104.5,3044.75,3230.75
"47","Arkansas",11,2957,2903.5,2984.25
"48","Arkansas",12,3145,3121.25,3188.5
"49","California",1,43370,43226.75,44146
"50","California",2,39388.5,39285.75,40851
"51","California",3,43880,43626.5,44612.75
"52","California",4,42023.5,41588.25,42758
"53","California",5,44364.5,43772,45073.5
"54","California",6,42867,42625.25,44019.25
"55","California",7,45704,45482.5,46754.25
"56","California",8,46903.5,46538,47697
"57","California",9,46103,45522.75,46577.75
"58","California",10,45895,44785.25,46682
"59","California",11,43353,42197.5,43711.75
"60","California",12,44249,44086,44591
"61","Colorado",1,4752.5,4388.5,5172
"62","Colorado",2,4518.5,4294,5031
"63","Colorado",3,5138,4736.25,5551.75
"64","Colorado",4,5015,4701,5335.5
"65","Colorado",5,5258,4947,5770.25
"66","Colorado",6,5101.5,4803.5,5545.25
"67","Colorado",7,5416.5,4916.75,5685
"68","Colorado",8,5398.5,5027.25,5749.5
"69","Colorado",9,5275,4795.5,5716.5
"70","Colorado",10,5136.5,4814,5595.75
"71","Colorado",11,4795.5,4441.25,5248.25
"72","Colorado",12,5066.5,4659,5319.5
"73","Connecticut",1,3489.5,3438.5,3514.25
"74","Connecticut",2,3334,3259,3382.5
"75","Connecticut",3,3630.5,3589.75,3686.75
"76","Connecticut",4,3611,3527.25,3655.25
"77","Connecticut",5,3826.5,3736,3849.75
"78","Connecticut",6,3754,3610,3804.25
"79","Connecticut",7,3885.5,3790,3970
"80","Connecticut",8,3768,3751.5,3796.75
"81","Connecticut",9,3709.5,3621.25,3801.5
"82","Connecticut",10,3623,3592.25,3675.75
"83","Connecticut",11,3304,3277.25,3401
"84","Connecticut",12,3419,3403.75,3448
"85","Delaware",1,844.5,840,874
"86","Delaware",2,796,794.25,834.5
"87","Delaware",3,876.5,861.5,932
"88","Delaware",4,869,848.75,884.25
"89","Delaware",5,906.5,883,922.25
"90","Delaware",6,887,848.25,903
"91","Delaware",7,930.5,916.75,939.75
"92","Delaware",8,944,900,993
"93","Delaware",9,892.5,870,906.75
"94","Delaware",10,872.5,852.75,918.5
"95","Delaware",11,825,802,878
"96","Delaware",12,876,856.75,903.25
