"","states","M","median","low","high"
"1","Alabama",1,161,159,166
"2","Alabama",2,164,160,169
"3","Alabama",3,160,157,167
"4","Alabama",4,156,155,160
"5","Alabama",5,158,154,163
"6","Alabama",6,165,161,171
"7","Alabama",7,171,168,176
"8","Alabama",8,174,170,181
"9","Alabama",9,177,171,183
"10","Alabama",10,168,163,170
"11","Alabama",11,164,162,170
"12","Alabama",12,170,166,174
"13","Alaska",1,27,26,30
"14","Alaska",2,28,27,30
"15","Alaska",3,29,28,31
"16","Alaska",4,30,28,31
"17","Alaska",5,29,28,31
"18","Alaska",6,30,28,32
"19","Alaska",7,30,28,32
"20","Alaska",8,29,28,32
"21","Alaska",9,30,29,32
"22","Alaska",10,28,27,31
"23","Alaska",11,28,26,30
"24","Alaska",12,28,27,30
"25","Arizona",1,232,228,245
"26","Arizona",2,235,225,249
"27","Arizona",3,232,226,251
"28","Arizona",4,223,214,241
"29","Arizona",5,220,216,238
"30","Arizona",6,229,222,244
"31","Arizona",7,239,228,259
"32","Arizona",8,250,239,265
"33","Arizona",9,258,250,274
"34","Arizona",10,244,238,261
"35","Arizona",11,238,232,243
"36","Arizona",12,239,230,256
"37","Arkansas",1,102,99,104
"38","Arkansas",2,104,101,106
"39","Arkansas",3,99,98,104
"40","Arkansas",4,99,97,104
"41","Arkansas",5,99,96,102
"42","Arkansas",6,104,100,109
"43","Arkansas",7,108,106,110
"44","Arkansas",8,109,107,113
"45","Arkansas",9,110,106,115
"46","Arkansas",10,105,103,108
"47","Arkansas",11,104,99,106
"48","Arkansas",12,107,102,110
"49","California",1,1401,1353,1428
"50","California",2,1407,1370,1455
"51","California",3,1419,1381,1449
"52","California",4,1404,1351,1443
"53","California",5,1420,1344,1474
"54","California",6,1430,1403,1488
"55","California",7,1477,1439,1544
"56","California",8,1510,1469,1550
"57","California",9,1539,1510,1592
"58","California",10,1479,1423,1506
"59","California",11,1411,1388,1477
"60","California",12,1427,1399,1463
"61","Colorado",1,170,164,177
"62","Colorado",2,176,170,185
"63","Colorado",3,183,172,189
"64","Colorado",4,183,172,189
"65","Colorado",5,182,177,191
"66","Colorado",6,187,181,194
"67","Colorado",7,191,182,197
"68","Colorado",8,190,183,194
"69","Colorado",9,190,185,198
"70","Colorado",10,180,171,183
"71","Colorado",11,175,171,178
"72","Colorado",12,174,167,181
"73","Connecticut",1,109,99,111
"74","Connecticut",2,111,102,118
"75","Connecticut",3,114,104,117
"76","Connecticut",4,114,106,120
"77","Connecticut",5,116,104,123
"78","Connecticut",6,119,108,124
"79","Connecticut",7,120,107,123
"80","Connecticut",8,120,110,121
"81","Connecticut",9,119,109,122
"82","Connecticut",10,113,101,116
"83","Connecticut",11,109,100,111
"84","Connecticut",12,107,99,110
"85","Delaware",1,30,28,30
"86","Delaware",2,31,28,31
"87","Delaware",3,30,28,32
"88","Delaware",4,30,29,31
"89","Delaware",5,30,30,32
"90","Delaware",6,30,30,33
"91","Delaware",7,31,30,33
"92","Delaware",8,32,31,34
"93","Delaware",9,32,30,33
"94","Delaware",10,30,30,31
"95","Delaware",11,30,28,31
"96","Delaware",12,30,29,31
"97","District of Columbia",1,23,22,25
"98","District of Columbia",2,24,21,25
"99","District of Columbia",3,23,21,25
"100","District of Columbia",4,21,20,25
"101","District of Columbia",5,22,21,25
"102","District of Columbia",6,23,22,25
"103","District of Columbia",7,24,22,26
"104","District of Columbia",8,24,22,26
"105","District of Columbia",9,24,22,26
"106","District of Columbia",10,23,21,25
"107","District of Columbia",11,24,22,25
"108","District of Columbia",12,23,22,25
"109","Florida",1,572,546,591
"110","Florida",2,576,553,600
"111","Florida",3,558,535,589
"112","Florida",4,557,519,583
"113","Florida",5,552,533,574
"114","Florida",6,567,531,590
"115","Florida",7,583,550,612
"116","Florida",8,609,586,627
"117","Florida",9,631,589,652
"118","Florida",10,610,576,624
"119","Florida",11,592,559,613
"120","Florida",12,601,573,636
"121","Georgia",1,354,345,365
"122","Georgia",2,362,345,370
"123","Georgia",3,357,341,373
"124","Georgia",4,347,333,368
"125","Georgia",5,343,337,372
"126","Georgia",6,359,344,381
"127","Georgia",7,371,359,392
"128","Georgia",8,387,370,391
"129","Georgia",9,385,364,402
"130","Georgia",10,365,355,382
"131","Georgia",11,358,350,375
"132","Georgia",12,369,356,385
"133","Hawaii",1,50,48,51
"134","Hawaii",2,51,48,51
"135","Hawaii",3,50,47,51
"136","Hawaii",4,49,48,51
"137","Hawaii",5,50,48,50
"138","Hawaii",6,50,47,52
"139","Hawaii",7,51,48,51
"140","Hawaii",8,50,48,53
"141","Hawaii",9,54,52,55
"142","Hawaii",10,51,50,52
"143","Hawaii",11,50,49,51
"144","Hawaii",12,50,49,51
"145","Idaho",1,56,50,59
"146","Idaho",2,58,56,63
"147","Idaho",3,62,55,64
"148","Idaho",4,62,56,64
"149","Idaho",5,63,61,66
"150","Idaho",6,64,57,67
"151","Idaho",7,64,59,67
"152","Idaho",8,63,57,66
"153","Idaho",9,63,56,67
"154","Idaho",10,61,55,63
"155","Idaho",11,58,53,61
"156","Idaho",12,58,52,60
"157","Illinois",1,468,424,472
"158","Illinois",2,488,448,491
"159","Illinois",3,486,457,499
"160","Illinois",4,483,457,491
"161","Illinois",5,496,449,505
"162","Illinois",6,510,474,513
"163","Illinois",7,522,476,527
"164","Illinois",8,508,476,523
"165","Illinois",9,515,474,521
"166","Illinois",10,488,443,498
"167","Illinois",11,471,432,480
"168","Illinois",12,474,440,482
"169","Indiana",1,221,218,226
"170","Indiana",2,231,226,237
"171","Indiana",3,231,226,240
"172","Indiana",4,230,223,233
"173","Indiana",5,232,228,237
"174","Indiana",6,240,234,245
"175","Indiana",7,243,240,248
"176","Indiana",8,244,241,250
"177","Indiana",9,246,243,254
"178","Indiana",10,233,228,237
"179","Indiana",11,223,220,228
"180","Indiana",12,230,225,233
"181","Iowa",1,98,97,101
"182","Iowa",2,103,101,106
"183","Iowa",3,104,103,107
"184","Iowa",4,103,102,108
"185","Iowa",5,107,102,109
