"","County_Name","County","stateName"
"1","Calhoun",1015,"Alabama"
"2","Jefferson",1073,"Alabama"
"3","Madison",1089,"Alabama"
"4","Mobile",1097,"Alabama"
"5","Montgomery",1101,"Alabama"
"6","Morgan",1103,"Alabama"
"7","Tuscaloosa",1125,"Alabama"
"8",NA,NA,"Alaska"
"9","Mohave",4015,"Arizona"
"10","Pinal",4021,"Arizona"
"11","Yuma",4027,"Arizona"
"12","Pulaski",5119,"Arkansas"
"13","Washington",5143,"Arkansas"
"14","Alameda",6001,"California"
"15","Butte",6007,"California"
"16","Contra Costa",6013,"California"
"17","El Dorado",6017,"California"
"18","Fresno",6019,"California"
"19","Humboldt",6023,"California"
"20","Imperial",6025,"California"
"21","Kern",6029,"California"
"22","Kings",6031,"California"
"23","Los Angeles",6037,"California"
"24","Marin",6041,"California"
"25","Merced",6047,"California"
"26","Monterey",6053,"California"
"27","Napa",6055,"California"
"28","Orange",6059,"California"
"29","Placer",6061,"California"
"30","Riverside",6065,"California"
"31","Sacramento",6067,"California"
"32","San Bernardino",6071,"California"
"33","San Diego",6073,"California"
"34","San Francisco",6075,"California"
"35","San Joaquin",6077,"California"
"36","San Luis Obispo",6079,"California"
"37","San Mateo",6081,"California"
"38","Santa Barbara",6083,"California"
"39","Santa Clara",6085,"California"
"40","Santa Cruz",6087,"California"
"41","Shasta",6089,"California"
"42","Solano",6095,"California"
"43","Sonoma",6097,"California"
"44","Stanislaus",6099,"California"
"45","Tulare",6107,"California"
"46","Ventura",6111,"California"
"47","Yolo",6113,"California"
"48","Adams",8001,"Colorado"
"49","Arapahoe",8005,"Colorado"
"50","Boulder",8013,"Colorado"
"51","Denver",8031,"Colorado"
"52","El Paso",8041,"Colorado"
"53","Jefferson",8059,"Colorado"
"54","Larimer",8069,"Colorado"
"55","Pueblo",8101,"Colorado"
"56","Weld",8123,"Colorado"
"57","Fairfield",9001,"Connecticut"
"58","Hartford",9003,"Connecticut"
"59","Litchfield",9005,"Connecticut"
"60","Middlesex",9007,"Connecticut"
"61","New Haven",9009,"Connecticut"
"62","New London",9011,"Connecticut"
"63","Tolland",9013,"Connecticut"
"64","Windham",9015,"Connecticut"
"65","Kent",10001,"Delaware"
"66","New Castle",10003,"Delaware"
"67","Sussex",10005,"Delaware"
"68",NA,NA,"Dist. of Columbia"
"69","Alachua",12001,"Florida"
"70","Bay",12005,"Florida"
"71","Brevard",12009,"Florida"
"72","Broward",12011,"Florida"
"73","Charlotte",12015,"Florida"
"74","Clay",12019,"Florida"
"75","Collier",12021,"Florida"
"76","Duval",12031,"Florida"
"77","Escambia",12033,"Florida"
"78","Hernando",12053,"Florida"
"79","Hillsborough",12057,"Florida"
"80","Lake",12069,"Florida"
"81","Lee",12071,"Florida"
"82","Leon",12073,"Florida"
"83","Manatee",12081,"Florida"
"84","Marion",12083,"Florida"
"85","Martin",12085,"Florida"
"86","Okaloosa",12091,"Florida"
"87","Orange",12095,"Florida"
"88","Osceola",12097,"Florida"
"89","Palm Beach",12099,"Florida"
"90","Pasco",12101,"Florida"
"91","Pinellas",12103,"Florida"
"92","Polk",12105,"Florida"
"93","Sarasota",12115,"Florida"
"94","Seminole",12117,"Florida"
"95","St Lucie",12111,"Florida"
"96","Volusia",12127,"Florida"
"97","Bibb",13021,"Georgia"
"98","Chatham",13051,"Georgia"
"99","Clayton",13063,"Georgia"
"100","Cobb",13067,"Georgia"
"101","De Kalb",13089,"Georgia"
"102","Fulton",13121,"Georgia"
"103","Gwinnett",13135,"Georgia"
"104","Muscogee",13215,"Georgia"
"105","Richmond",13245,"Georgia"
"106","Hawaii",15001,"Hawaii"
"107","Honolulu",15003,"Hawaii"
"108","Maui",15009,"Hawaii"
"109","Ada",16001,"Idaho"
"110","Champaign",17019,"Illinois"
"111","Cook",17031,"Illinois"
