"","states","stateBirths","Date","dayAvg"
"1","Alabama",4866,"0301",157
"2","Alabama",4437,"0302",158
"3","Alabama",4857,"0303",157
"4","Alabama",4706,"0304",157
"5","Alabama",4838,"0305",156
"6","Alabama",4803,"0306",160
"7","Alabama",5292,"0307",171
"8","Alabama",5215,"0308",168
"9","Alabama",5321,"0309",177
"10","Alabama",5211,"0310",168
"11","Alabama",4727,"0311",158
"12","Alabama",5279,"0312",170
"13","Alabama",4816,"0401",155
"14","Alabama",4477,"0402",154
"15","Alabama",4907,"0403",158
"16","Alabama",4669,"0404",156
"17","Alabama",4771,"0405",154
"18","Alabama",4938,"0406",165
"19","Alabama",5132,"0407",166
"20","Alabama",5131,"0408",166
"21","Alabama",5243,"0409",175
"22","Alabama",5061,"0410",163
"23","Alabama",5107,"0411",170
"24","Alabama",5258,"0412",170
"25","Alabama",4956,"0501",160
"26","Alabama",4478,"0502",160
"27","Alabama",4953,"0503",160
"28","Alabama",4677,"0504",156
"29","Alabama",4905,"0505",158
"30","Alabama",5177,"0506",173
"31","Alabama",5108,"0507",165
"32","Alabama",5421,"0508",175
"33","Alabama",5351,"0509",178
"34","Alabama",5043,"0510",163
"35","Alabama",5128,"0511",171
"36","Alabama",5256,"0512",170
"37","Alabama",5076,"0601",164
"38","Alabama",4796,"0602",171
"39","Alabama",5238,"0603",169
"40","Alabama",4765,"0604",159
"41","Alabama",5072,"0605",164
"42","Alabama",5092,"0606",170
"43","Alabama",5376,"0607",173
"44","Alabama",5880,"0608",190
"45","Alabama",5503,"0609",183
"46","Alabama",5512,"0610",178
"47","Alabama",5465,"0611",182
"48","Alabama",5457,"0612",176
"49","Alaska",831,"0301",27
"50","Alaska",757,"0302",27
"51","Alaska",876,"0303",28
"52","Alaska",831,"0304",28
"53","Alaska",821,"0305",26
"54","Alaska",841,"0306",28
"55","Alaska",892,"0307",29
"56","Alaska",908,"0308",29
"57","Alaska",895,"0309",30
"58","Alaska",822,"0310",27
"59","Alaska",780,"0311",26
"60","Alaska",832,"0312",27
"61","Alaska",841,"0401",27
"62","Alaska",805,"0402",28
"63","Alaska",945,"0403",30
"64","Alaska",811,"0404",27
"65","Alaska",875,"0405",28
"66","Alaska",887,"0406",30
"67","Alaska",863,"0407",28
"68","Alaska",872,"0408",28
"69","Alaska",858,"0409",29
"70","Alaska",870,"0410",28
"71","Alaska",807,"0411",27
"72","Alaska",904,"0412",29
"73","Alaska",812,"0501",26
"74","Alaska",765,"0502",27
"75","Alaska",973,"0503",31
"76","Alaska",854,"0504",28
"77","Alaska",862,"0505",28
"78","Alaska",921,"0506",31
"79","Alaska",866,"0507",28
