"","Date","stateBirths","states"
"1","0001",5211,"Alabama"
"2","0002",4921,"Alabama"
"3","0003",5277,"Alabama"
"4","0004",4751,"Alabama"
"5","0005",5235,"Alabama"
"6","0006",5236,"Alabama"
"7","0007",5490,"Alabama"
"8","0008",5736,"Alabama"
"9","0009",5394,"Alabama"
"10","0010",5505,"Alabama"
"11","0011",5299,"Alabama"
"12","0012",5244,"Alabama"
"13","0101",5380,"Alabama"
"14","0102",4603,"Alabama"
"15","0103",5028,"Alabama"
"16","0104",4796,"Alabama"
"17","0105",5061,"Alabama"
"18","0106",4828,"Alabama"
"19","0107",5220,"Alabama"
"20","0108",5408,"Alabama"
"21","0109",5062,"Alabama"
"22","0110",5220,"Alabama"
"23","0111",4906,"Alabama"
"24","0112",4942,"Alabama"
"25","0201",5073,"Alabama"
"26","0202",4556,"Alabama"
"27","0203",4932,"Alabama"
"28","0204",4655,"Alabama"
"29","0205",4957,"Alabama"
"30","0206",4632,"Alabama"
"31","0207",5126,"Alabama"
"32","0208",5238,"Alabama"
"33","0209",4982,"Alabama"
"34","0210",5110,"Alabama"
"35","0211",4616,"Alabama"
"36","0212",5090,"Alabama"
"37","0301",4866,"Alabama"
"38","0302",4437,"Alabama"
"39","0303",4857,"Alabama"
"40","0304",4706,"Alabama"
"41","0305",4838,"Alabama"
"42","0306",4803,"Alabama"
"43","0307",5292,"Alabama"
"44","0308",5215,"Alabama"
"45","0309",5321,"Alabama"
"46","0310",5211,"Alabama"
"47","0311",4727,"Alabama"
"48","0312",5279,"Alabama"
"49","0401",4816,"Alabama"
"50","0402",4477,"Alabama"
"51","0403",4907,"Alabama"
"52","0404",4669,"Alabama"
"53","0405",4771,"Alabama"
"54","0406",4938,"Alabama"
"55","0407",5132,"Alabama"
"56","0408",5131,"Alabama"
"57","0409",5243,"Alabama"
"58","0410",5061,"Alabama"
"59","0411",5107,"Alabama"
"60","0412",5258,"Alabama"
"61","0501",4956,"Alabama"
"62","0502",4478,"Alabama"
"63","0503",4953,"Alabama"
"64","0504",4677,"Alabama"
"65","0505",4905,"Alabama"
"66","0506",5177,"Alabama"
"67","0507",5108,"Alabama"
"68","0508",5421,"Alabama"
"69","0509",5351,"Alabama"
"70","0510",5043,"Alabama"
"71","0511",5128,"Alabama"
"72","0512",5256,"Alabama"
"73","0601",5076,"Alabama"
"74","0602",4796,"Alabama"
"75","0603",5238,"Alabama"
"76","0604",4765,"Alabama"
"77","0605",5072,"Alabama"
"78","0606",5092,"Alabama"
"79","0607",5376,"Alabama"
"80","0608",5880,"Alabama"
"81","0609",5503,"Alabama"
"82","0610",5512,"Alabama"
"83","0611",5465,"Alabama"
"84","0612",5457,"Alabama"
"85","0701",5315,"Alabama"
"86","0702",4936,"Alabama"
"87","0703",5343,"Alabama"
"88","0704",5108,"Alabama"
"89","0705",5324,"Alabama"
"90","0706",5059,"Alabama"
"91","0707",5680,"Alabama"
"92","0708",5912,"Alabama"
"93","0709",5558,"Alabama"
"94","0710",5630,"Alabama"
"95","0711",5543,"Alabama"
"96","0712",5396,"Alabama"
"97","0801",5559,"Alabama"
"98","0802",5150,"Alabama"
"99","0803",5224,"Alabama"
"100","0804",5297,"Alabama"
"101","0805",5090,"Alabama"
"102","0806",5186,"Alabama"
"103","0807",5574,"Alabama"
"104","0808",5910,"Alabama"
"105","0809",5532,"Alabama"
"106","0810",5482,"Alabama"
"107","0811",4874,"Alabama"
"108","0812",5668,"Alabama"
"109","0901",5084,"Alabama"
"110","0902",4745,"Alabama"
"111","0903",5239,"Alabama"
"112","0904",5051,"Alabama"
"113","0905",4993,"Alabama"
"114","0906",5229,"Alabama"
"115","0907",5635,"Alabama"
"116","0908",5483,"Alabama"
"117","0909",5486,"Alabama"
"118","0910",5215,"Alabama"
"119","0911",4968,"Alabama"
"120","0912",5347,"Alabama"
"121","1001",4917,"Alabama"
"122","1002",4617,"Alabama"
"123","1003",5062,"Alabama"
"124","1004",4662,"Alabama"
"125","1005",4716,"Alabama"
"126","1006",4841,"Alabama"
"127","1007",5253,"Alabama"
"128","1008",5282,"Alabama"
"129","1009",5492,"Alabama"
"130","1010",5034,"Alabama"
"131","1011",5102,"Alabama"
"132","1012",5072,"Alabama"
"133","1101",4949,"Alabama"
"134","1102",4503,"Alabama"
"135","1103",4887,"Alabama"
"136","1104",4383,"Alabama"
"137","1105",4635,"Alabama"
"138","1106",5118,"Alabama"
"139","1107",5228,"Alabama"
"140","1108",5612,"Alabama"
"141","1109",5127,"Alabama"
"142","1110",4862,"Alabama"
"143","1111",4909,"Alabama"
"144","1112",5141,"Alabama"
"145","1201",4810,"Alabama"
"146","1202",4625,"Alabama"
"147","1203",4599,"Alabama"
"148","1204",4486,"Alabama"
"149","1205",4783,"Alabama"
"150","1206",4904,"Alabama"
"151","1207",5141,"Alabama"
"152","1208",5400,"Alabama"
"153","1209",4923,"Alabama"
"154","1210",5081,"Alabama"
"155","1211",4930,"Alabama"
"156","1212",4766,"Alabama"
"157","1301",4934,"Alabama"
"158","1302",4307,"Alabama"
"159","1303",4581,"Alabama"
"160","1304",4572,"Alabama"
"161","1305",4761,"Alabama"
"162","1306",4545,"Alabama"
"163","1307",5282,"Alabama"
"164","1308",5308,"Alabama"
"165","1309",4884,"Alabama"
"166","1310",4972,"Alabama"
"167","1311",4774,"Alabama"
"168","1312",5247,"Alabama"
"169","1401",4924,"Alabama"
"170","1402",4590,"Alabama"
"171","1403",4668,"Alabama"
"172","1404",4685,"Alabama"
"173","1405",4832,"Alabama"
"174","1406",4746,"Alabama"
"175","1407",5193,"Alabama"
"176","1408",5165,"Alabama"
"177","1409",5138,"Alabama"
"178","1410",5271,"Alabama"
"179","1411",4753,"Alabama"
"180","1412",5457,"Alabama"
"181","1501",4970,"Alabama"
"182","1502",4473,"Alabama"
"183","1503",4941,"Alabama"
"184","1504",4643,"Alabama"
"185","1505",4700,"Alabama"
"186","1506",4953,"Alabama"
"187","1507",5339,"Alabama"
"188","1508",5192,"Alabama"
"189","1509",5217,"Alabama"
"190","1510",5129,"Alabama"
"191","1511",4886,"Alabama"
"192","1512",5214,"Alabama"
"193","9501",4985,"Alabama"
"194","9502",4574,"Alabama"
"195","9503",5189,"Alabama"
"196","9504",4594,"Alabama"
"197","9505",5046,"Alabama"
"198","9506",4874,"Alabama"
"199","9507",5192,"Alabama"
"200","9508",5603,"Alabama"
"201","9509",5357,"Alabama"
"202","9510",5067,"Alabama"
"203","9511",4868,"Alabama"
"204","9512",4980,"Alabama"
"205","9601",4982,"Alabama"
"206","9602",4761,"Alabama"
"207","9603",4879,"Alabama"
"208","9604",4670,"Alabama"
"209","9605",4898,"Alabama"
"210","9606",4751,"Alabama"
"211","9607",5430,"Alabama"
"212","9608",5316,"Alabama"
"213","9609",5216,"Alabama"
"214","9610",5321,"Alabama"
"215","9611",4941,"Alabama"
