"","County","Date","Births"
"1",1015,"9501",12
"2",1015,"9502",13
"3",1015,"9503",13
"4",1015,"9504",12
"5",1015,"9505",13
"6",1015,"9506",12
"7",1015,"9507",13
"8",1015,"9508",15
"9",1015,"9509",16
"10",1015,"9510",10
"11",1015,"9511",12
"12",1015,"9512",12
"13",1073,"9501",78
"14",1073,"9502",72
"15",1073,"9503",80
"16",1073,"9504",72
"17",1073,"9505",78
"18",1073,"9506",76
"19",1073,"9507",82
"20",1073,"9508",88
"21",1073,"9509",81
"22",1073,"9510",80
"23",1073,"9511",73
"24",1073,"9512",75
"25",1089,"9501",32
"26",1089,"9502",30
"27",1089,"9503",32
"28",1089,"9504",31
"29",1089,"9505",35
"30",1089,"9506",32
"31",1089,"9507",32
"32",1089,"9508",33
"33",1089,"9509",31
"34",1089,"9510",33
"35",1089,"9511",31
"36",1089,"9512",34
"37",1097,"9501",54
"38",1097,"9502",46
"39",1097,"9503",49
"40",1097,"9504",49
"41",1097,"9505",49
"42",1097,"9506",50
"43",1097,"9507",53
"44",1097,"9508",53
"45",1097,"9509",57
"46",1097,"9510",52
"47",1097,"9511",50
"48",1097,"9512",49
"49",1101,"9501",29
"50",1101,"9502",29
"51",1101,"9503",29
"52",1101,"9504",27
"53",1101,"9505",29
"54",1101,"9506",29
"55",1101,"9507",30
"56",1101,"9508",35
"57",1101,"9509",31
"58",1101,"9510",28
"59",1101,"9511",28
"60",1101,"9512",26
"61",1103,"9501",12
"62",1103,"9502",9
"63",1103,"9503",13
"64",1103,"9504",10
"65",1103,"9505",10
"66",1103,"9506",10
"67",1103,"9507",14
"68",1103,"9508",12
"69",1103,"9509",14
"70",1103,"9510",15
"71",1103,"9511",13
"72",1103,"9512",11
"73",1125,"9501",16
"74",1125,"9502",16
"75",1125,"9503",19
"76",1125,"9504",17
"77",1125,"9505",18
"78",1125,"9506",19
"79",1125,"9507",17
"80",1125,"9508",20
"81",1125,"9509",20
"82",1125,"9510",18
"83",1125,"9511",18
"84",1125,"9512",18
"85",4015,"9501",346
"86",4015,"9502",331
"87",4015,"9503",368
"88",4015,"9504",330
"89",4015,"9505",351
"90",4015,"9506",335
"91",4015,"9507",389
"92",4015,"9508",406
"93",4015,"9509",407
"94",4015,"9510",386
"95",4015,"9511",375
"96",4015,"9512",381
"97",4021,"9501",92
"98",4021,"9502",86
"99",4021,"9503",96
"100",4021,"9504",85
"101",4021,"9505",85
"102",4021,"9506",89
"103",4021,"9507",99
"104",4021,"9508",108
"105",4021,"9509",103
"106",4021,"9510",94
"107",4021,"9511",92
"108",4021,"9512",91
"109",4027,"9501",11
"110",4027,"9502",11
"111",4027,"9503",11
"112",4027,"9504",13
"113",4027,"9505",12
"114",4027,"9506",13
"115",4027,"9507",15
"116",4027,"9508",14
"117",4027,"9509",16
"118",4027,"9510",15
"119",4027,"9511",10
"120",4027,"9512",12
"121",5119,"9501",43
"122",5119,"9502",44
"123",5119,"9503",45
"124",5119,"9504",48
"125",5119,"9505",47
"126",5119,"9506",46
"127",5119,"9507",49
"128",5119,"9508",52
"129",5119,"9509",48
"130",5119,"9510",46
"131",5119,"9511",49
"132",5119,"9512",47
"133",5143,"9501",16
"134",5143,"9502",16
"135",5143,"9503",16
"136",5143,"9504",17
"137",5143,"9505",18
"138",5143,"9506",17
"139",5143,"9507",18
"140",5143,"9508",21
"141",5143,"9509",19
"142",5143,"9510",18
"143",5143,"9511",20
"144",5143,"9512",16
"145",6001,"9501",172
"146",6001,"9502",164
"147",6001,"9503",180
"148",6001,"9504",171
"149",6001,"9505",186
"150",6001,"9506",172
"151",6001,"9507",179
"152",6001,"9508",181
"153",6001,"9509",180
"154",6001,"9510",175
"155",6001,"9511",164
"156",6001,"9512",172
"157",6007,"9501",20
"158",6007,"9502",19
"159",6007,"9503",22
"160",6007,"9504",20
"161",6007,"9505",20
"162",6007,"9506",22
"163",6007,"9507",20
"164",6007,"9508",26
"165",6007,"9509",22
"166",6007,"9510",23
"167",6007,"9511",20
"168",6007,"9512",19
"169",6013,"9501",99
"170",6013,"9502",94
"171",6013,"9503",110
"172",6013,"9504",102
"173",6013,"9505",110
"174",6013,"9506",102
"175",6013,"9507",113
"176",6013,"9508",109
"177",6013,"9509",102
"178",6013,"9510",108
"179",6013,"9511",101
"180",6013,"9512",100
"181",6017,"9501",13
"182",6017,"9502",16
"183",6017,"9503",15
"184",6017,"9504",14
"185",6017,"9505",15
"186",6017,"9506",16
"187",6017,"9507",15
"188",6017,"9508",14
"189",6017,"9509",15
"190",6017,"9510",14
"191",6017,"9511",13
"192",6017,"9512",13
"193",6019,"9501",123
"194",6019,"9502",120
"195",6019,"9503",126
"196",6019,"9504",122
"197",6019,"9505",131
"198",6019,"9506",123
"199",6019,"9507",125
"200",6019,"9508",133
"201",6019,"9509",132
"202",6019,"9510",131
"203",6019,"9511",125
"204",6019,"9512",118
"205",6023,"9501",15
"206",6023,"9502",11
"207",6023,"9503",14
"208",6023,"9504",14
"209",6023,"9505",13
"210",6023,"9506",14
"211",6023,"9507",15
"212",6023,"9508",12
"213",6023,"9509",12
"214",6023,"9510",13
"215",6023,"9511",14
"216",6023,"9512",11
"217",6025,"9501",22
"218",6025,"9502",20
"219",6025,"9503",21
"220",6025,"9504",19
"221",6025,"9505",19
"222",6025,"9506",20
"223",6025,"9507",24
"224",6025,"9508",25
"225",6025,"9509",26
"226",6025,"9510",26
"227",6025,"9511",25
"228",6025,"9512",23
"229",6029,"9501",99
"230",6029,"9502",88
"231",6029,"9503",101
"232",6029,"9504",88
"233",6029,"9505",103
"234",6029,"9506",104
"235",6029,"9507",106
"236",6029,"9508",114
"237",6029,"9509",101
"238",6029,"9510",104
"239",6029,"9511",96
"240",6029,"9512",92
"241",6031,"9501",16
"242",6031,"9502",15
"243",6031,"9503",15
"244",6031,"9504",16
"245",6031,"9505",19
"246",6031,"9506",22
"247",6031,"9507",18
"248",6031,"9508",22
"249",6031,"9509",19
"250",6031,"9510",15
"251",6031,"9511",20
"252",6031,"9512",18
"253",6037,"9501",1453
"254",6037,"9502",1356
"255",6037,"9503",1457
"256",6037,"9504",1375
"257",6037,"9505",1435
"258",6037,"9506",1455
"259",6037,"9507",1519
"260",6037,"9508",1586
"261",6037,"9509",1548
"262",6037,"9510",1524
"263",6037,"9511",1422
"264",6037,"9512",1387
"265",6041,"9501",20
"266",6041,"9502",18
"267",6041,"9503",19
"268",6041,"9504",22
"269",6041,"9505",27
"270",6041,"9506",22
"271",6041,"9507",23
"272",6041,"9508",22
"273",6041,"9509",25
"274",6041,"9510",22
"275",6041,"9511",22
"276",6041,"9512",20
"277",6047,"9501",31
"278",6047,"9502",31
"279",6047,"9503",33
"280",6047,"9504",33
"281",6047,"9505",36
"282",6047,"9506",40
"283",6047,"9507",36
"284",6047,"9508",36
"285",6047,"9509",35
"286",6047,"9510",32
"287",6047,"9511",29
"288",6047,"9512",30
"289",6053,"9501",56
"290",6053,"9502",46
"291",6053,"9503",56
"292",6053,"9504",54
"293",6053,"9505",59
"294",6053,"9506",55
"295",6053,"9507",58
"296",6053,"9508",62
"297",6053,"9509",60
"298",6053,"9510",62
"299",6053,"9511",57
"300",6053,"9512",56
"301",6055,"9501",13
"302",6055,"9502",10
"303",6055,"9503",12
"304",6055,"9504",15
